HEX;MNE;ADDRESSING;ARGS LEN (DEFAULT: 0 bytes)
x801D;CMPA;absolute indexed;2
x801E;CMPA;indirect;2
x801F;CMPA;indirect indexed;2
x8020;CMPB;absolute;2
x8021;CMPB;absolute indexed;2
x8022;CMPB;indirect;2
x8023;CMPB;indirect indexed;2
x8024;CMPA;imm;2
x8025;CMPB;imm;2
x8026;CMPI;imm;2
x8027;CMPI;absolute;2
x8028;CMPI;indirect;2
x8029;JCC;absolute;2
x802A;JOC;absolute;2
x802B;JNE;absolute;2
x802C;JNC;absolute;2
x802D;JCS;absolute;2
x802E;JOS;absolute;2
x802F;JEQ;absolute;2
x8030;JNS;absolute;2
x8031;JMP;absolute;2
x8032;JMP;indirect;2
x8033;ADA;imm;2
x8034;ADB;imm;2
x8035;ANA;imm;2
x8036;ANB;imm;2
x8037;LDA;absolute;2
x8038;LDA;absolute indexed;2
x8039;LDA;indirect;2
x803A;LDA;indirect indexed;2
x803B;LDAH;absolute;2
x803C;LDAH;absolute indexed;2
x803D;LDAH;indirect;2
x803E;LDAH;indirect indexed;2
x803F;LDAL;absolute;2
x8040;LDAL;absolute indexed;2
x8041;LDAL;indirect;2
x8042;LDAL;indirect indexed;2
x8043;LDB;absolute;2
x8044;LDB;absolute indexed;2
x8045;LDB;indirect;2
x8046;LDB;indirect indexed;2
x8047;LDBH;absolute;2
x8048;LDBH;absolute indexed;2
x8049;LDBH;indirect;2
x804A;LDBH;indirect indexed;2
x804B;LDBL;absolute;2
x804C;LDBL;absolute indexed;2
x804D;LDBL;indirect;2
x804E;LDBL;indirect indexed;2
x804F;LDI;absolute;2
x8050;LDI;indirect;2
x8051;LDJ;absolute;2
x8052;LDJ;indirect;2
x8053;LDA;imm;2
x8054;LDB;imm;2
x8055;LDI;imm;2
x8056;LDS;absolute;2
x8057;LDS;indirect;2
x8058;LDS;imm;2
x8059;ORA;absolute;2
x805A;ORA;absolute indexed;2
x805B;ORA;indirect;2
x805C;ORA;indirect indexed;2
x805D;ORB;absolute;2
x805E;ORB;absolute indexed;2
x805F;ORB;indirect;2
x8060;ORB;indirect indexed;2
x8061;ORA;imm;2
x8062;ORB;imm;2
x8063;READ;absolute;2
x8064;READ;absolute indexed;2
x8065;STA;absolute;2
x8066;STA;absolute indexed;2
x8067;STA;indirect;2
x8068;STA;indirect indexed;2
x8069;STAH;absolute;2
x806A;STAH;absolute indexed;2
x806B;STAH;indirect;2
x806C;STAH;indirect indexed;2
x806D;STB;absolute;2
x806E;STB;absolute indexed;2
x806F;STB;indirect;2
x8070;STB;indirect indexed;2
x8071;STBH;absolute;2
x8072;STBH;absolute indexed;2
x8073;STBH;indirect;2
x8074;STBH;indirect indexed;2
x8075;STI;absolute;2
x8076;NOP;absolute indexed;2
x8077;STI;indirect;2
x8078;NOP;indirect indexed;2
x8079;STJ;absolute;2
x807A;STJ;absolute indexed;2
x807B;STJ;indirect;2
x807C;STJ;indirect indexed;2
x807D;SUA;absolute;2
x807E;SUA;absolute indexed;2
x807F;SUA;indirect;2
x8080;SUA;indirect indexed;2
x8081;SUB;absolute;2
x8082;SUB;absolute indexed;2
x8083;SUB;indirect;2
x8084;SUB;indirect indexed;2
x8085;WRTE;absolute;2
x8086;KILL;absolute;2
x8087;WRTE;absolute indexed;2
x8088;WRTI;absolute;2
x8089;WRTI;indirect;2
x808A;LDDR;absolute;2
x808B;LDDR;indirect;2
x808C;LDDR;imm;2
x808D;LIMH;absolute;2
x808E;LIMH;indirect;2
x808F;LIMH;imm;2
x8090;LIML;absolute;2
x8091;LIML;indirect;2
x8092;LIML;imm;2
x8093;SIMH;absolute;2
x8094;SIMH;absolute indexed;2
x8095;SIMH;indirect;2
x8096;SIMH;indirect indexed;2
x8097;SIML;absolute;2
x8098;SIML;absolute indexed;2
x8099;SIML;indirect;2
x809A;SIML;indirect indexed;2
x809B;SUA;immediate;2
x809C;SUB;immediate;2
x809D;XORA;absolute;2
x809E;XORA;absolute indexed;2
x809F;XORA;indirect;2
x80A0;XORA;indirect indexed;2
x80A1;XORB;absolute;2
x80A2;XORB;absolute indexed;2
x80A3;XORB;indirect;2
x80A4;XORB;indirect indexed;2
x80A5;XORA;immediate;2
x80A6;XORB;immediate;2
x80A7;STPC;absolute;2
x80A8;STSR;absolute;2
x80A9;LDSR;absolute;2
x80B0;LDSR;indirect;2
x80B1;LEMH;absolute;2
x80B2;LEMH;indirect;2
x80B3;LEMH;immediate;2
x80B4;LEML;absolute;2
x80B5;LEML;indirect;2
x80B6;LEML;immediate;2
x80B7;SEMH;absolute;2
x80B8;SEMH;absolute indexed;2
x80B9;SEMH;indirect;2
x80BA;SEMH;indirect indexed;2
x80BB;SEML;absolute;2
x80BC;SEML;absolute indexed;2
x80BD;SEML;indirect;2
x80BE;SEML;indirect indexed;2
x80BF;NOP;absolute;2
x....;...;...;2
x80FE;NOP;absolute;2
x80FF;RET;impl;
